,Dns_SMILES,Experimental_RT,Predicted_RT
181,CC[C@H]([C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C,13.2,13.63
151,CC1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(NC1=O)=O,13.21,12.02
143,CN(C)C1=C(C=CC=C2S(=O)(N3CCCCC3C(O)=O)=O)C2=CC=C1,13.23,11.48
191,O=C(O)[C@H](CCSCC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,13.33,14.23
190,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCSC[C@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(O)=O)=O,13.34,14.23
165,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(C)C)=O,13.36,12.82
144,O=C(O)[C@H]1N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)CCCC1,13.45,11.48
160,OC(/C=C/C1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=N1)=O,13.52,12.38
210,O=C1CCCN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,13.57,14.8
157,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(O)=O)N[C@H](C(O)=O)CCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,13.61,12.22
200,N[C@@H](CCSCC(N)C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,13.61,14.38
189,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)C(C)C,13.62,14.19
178,OC(C(C)(C)N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)=O,13.65,13.46
199,N[C@H](C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CCSC[C@H](N)C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,13.69,14.38
130,O=C(O)C[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(N[C@H](C(OC)=O)CC3=CC=CC=C3)=O,13.72,10.78
173,OC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3,13.77,13.16
