Dns_SMILES,Experimental_RT,Predicted_RT
[O-][N+](C1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,23.45,23.91
CC(NCCC1=CNC2=C1C=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O,14.32,14.05
O[C@H]1[C@H](O)[C@@H](NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)[C@@H](O)O[C@@H]1COP(O)(O)=O,1.6,3.16
CN(C)C1=C(C=CC=C2S(NCCCCNCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)(=O)=O)C2=CC=C1,10.54,13.04
O=C(O)CC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C1,23.9,22.8
O[C@@H]1[C@H](O)[C@@H](COP(OP(O)(O)=O)(O)=O)O[C@H]1N2C=NC3=C2N=CN=C3NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,1.49,2.96
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCC[C@@H](C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,12.3,14.18
N[C@H](C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CCC[C@@H](C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O)N,12.96,14.03
O=C(O)C1=CC=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,11.52,13.28
O=C(N1)C2=C(N=C1NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)N(C=N2)[C@@H]([C@H](O)[C@@H]5O)O[C@@H]5COP(O)(O)=O,1.15,3.51
COC(C=CC=C1)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,22.54,21.92
O=P(O)(OCC[N+](C)(C)C)OP(O)(OC[C@@H]1[C@@H](OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)[C@@H](O)[C@H](N4C(N=C(N)C=C4)=O)O1)=O,1.48,2.95
O=P(O)(OCC[N+](C)(C)C)OP(O)(OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C(N=C(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O)O1)=O,1.28,3.08
CN(C)C1=C(C=CC=C2S(NCCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)(=O)=O)C2=CC=C1,21.27,18.92
OCC(C=N1)=C(CNS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C1C,19.47,21.58
NC(NCCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N,4.52,3.56
N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NCCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,15.28,14.29
NC1=C(C=CC=C1C(O)=O)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,18.14,13.8
N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NC,3.84,4.12
N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C,22.52,21.06
CN(C)C1=C(C=CC=C2S(N3C=CN=C3)(=O)=O)C2=CC=C1,14.29,14.47
CC1=NC=C(CO)C(C=O)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,12.01,14.38
CCCC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O,14.11,12.54
OC(/C=C/C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)=O,18.51,19.44
O=C(NC(CCC(O)=O)C(O)=O)C(C=C1)=CC=C1NCC2=NC3=C(N=C2)N=C(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)N=C3N,6.06,8.32
